Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Galpões,EOL,8000.0,"-30,88072837","-55,67654119",Santana do Livramento - RS
Itarema V,EOL,21000.0,"-2,96648964","-39,87947385",Itarema - CE
Itarema II,EOL,27000.0,"-2,92112875","-39,86165058",Itarema - CE
Itarema III,EOL,15000.0,"-2,94757126","-39,83686449",Itarema - CE
Itarema I,EOL,27000.0,"-2,92254688","-39,84065178",Itarema - CE
Coxilha Seca,EOL,30000.0,"-30,88796891","-55,73522516",Santana do Livramento - RS
Pontal 2 A,EOL,21600.0,"-30,26484803","-50,78338279",Viamão - RS
Capão do Inglês,EOL,10000.0,"-30,91629583","-55,70843584",Santana do Livramento - RS
Papagaio,EOL,10000.0,"-14,48147697","-42,64087206",Pindaí - BA
Chuí 09,EOL,17900.0,"-33,68752005","-53,38097703",Chuí - RS
Coqueirinho 2,EOL,16000.0,"-14,50305809","-42,65136408",Pindaí - BA
Casa Nova II,EOL,32900.0,"-9,27055058","-41,05009439",Casa Nova - BA
Ventos de Santa Joana IV,EOL,27200.0,"-7,45133388","-40,68637239",Simões - PI
Caetité C,EOL,8500.0,"-14,10820737","-42,47461065",Caetité - BA
Casa Nova III,EOL,28200.0,"-9,31480205","-41,11748472",Casa Nova - BA
Serra das Vacas I,EOL,23920.0,"-8,91133393","-36,74770823",Paranatama - PE
Ventos de Santa Joana V,EOL,28900.0,"-7,37088793","-40,67417409",Simões - PI
Verace 35,EOL,12530.0,"-33,58507579","-53,35925480",Santa Vitória do Palmar - RS
Serra das Vacas II,EOL,22295.0,"-8,89518999","-36,72570166",Paranatama - PE
Verace 25,EOL,7160.0,"-33,63985526","-53,32506053",Santa Vitória do Palmar - RS
Verace 29,EOL,17900.0,"-33,61818684","-53,35722860",Santa Vitória do Palmar - RS
Verace 31,EOL,8950.0,"-33,60715978","-53,32482123",Santa Vitória do Palmar - RS
Verace 26,EOL,14320.0,"-33,65348268","-53,30407321",Santa Vitória do Palmar - RS
